series,N,ux_min
experiment_Ha140,3.5,0.115
experiment_Ha140,4.5,0.01
experiment_Ha140,5.0,-0.02
experiment_Ha140,5.5,-0.06
experiment_Ha140,6.2,-0.08
experiment_Ha140,7.0,-0.095
experiment_Ha140,8.5,-0.105
experiment_Ha140,11.0,-0.112
experiment_Ha140,15.0,-0.121
experiment_Ha140,18.0,-0.128
experiment_Ha140,21.0,-0.134
experiment_Ha140,25.0,-0.14
experiment_Ha140,30.0,-0.148
experiment_Ha140,34.0,-0.151
simulation_Re196,3.7,0.087
simulation_Re196,5.6,-0.024
simulation_Re196,9.2,-0.071
simulation_Re196,16.0,-0.124
simulation_Re100,3.8,0.1
simulation_Re100,4.6,0.06
simulation_Re100,5.2,0.0
simulation_Re100,6.6,-0.035
simulation_Re100,8.4,-0.06
simulation_Re100,16.0,-0.126
simulation_Re100,25.0,-0.137
simulation_Re100,36.0,-0.148
