case_name,criterion,passed,expected,observed,decision
lidDriven,application,True,Q2DmhdFoam,Q2DmhdFoam,not_admissible_for_strict_csv
lidDriven,topology,False,"periodic box, no inlet/outlet, no obstacle",no recognized topology flags,not_admissible_for_strict_csv
lidDriven,hartmann_friction,True,nonzero Hartmann friction matching LMX alpha,B=0.0783623,not_admissible_for_strict_csv
lidDriven,forcing,False,deterministic_periodic_vorticity_forcing,no q0/Ubar forcing in dictionaries,not_admissible_for_strict_csv
lidDriven,time_window,False,"dt=0.002, t_final=3.0","dt=0.1, endTime=1000000.0",not_admissible_for_strict_csv
lidDriven,observables,False,"energy, enstrophy, spectrum, turnover, force/probe histories",probe_count=0; no energy/enstrophy contract in case dictionaries,not_admissible_for_strict_csv
muck_q2d_FFT,application,True,Q2DmhdFoam,Q2DmhdFoam,not_admissible_for_strict_csv
muck_q2d_FFT,topology,False,"periodic box, no inlet/outlet, no obstacle","cylinder, inlet/outlet, sideWalls, empty_hartmannWalls",not_admissible_for_strict_csv
muck_q2d_FFT,hartmann_friction,False,nonzero Hartmann friction matching LMX alpha,B=0,not_admissible_for_strict_csv
muck_q2d_FFT,forcing,False,deterministic_periodic_vorticity_forcing,no q0/Ubar forcing in dictionaries,not_admissible_for_strict_csv
muck_q2d_FFT,time_window,False,"dt=0.002, t_final=3.0","dt=10.0, endTime=200000.0",not_admissible_for_strict_csv
muck_q2d_FFT,observables,False,"energy, enstrophy, spectrum, turnover, force/probe histories",probe_count=65536; no energy/enstrophy contract in case dictionaries,not_admissible_for_strict_csv
muck_q2d,application,True,Q2DmhdFoam,Q2DmhdFoam,not_admissible_for_strict_csv
muck_q2d,topology,False,"periodic box, no inlet/outlet, no obstacle","cylinder, inlet/outlet, sideWalls, empty_hartmannWalls",not_admissible_for_strict_csv
muck_q2d,hartmann_friction,False,nonzero Hartmann friction matching LMX alpha,B=0,not_admissible_for_strict_csv
muck_q2d,forcing,False,deterministic_periodic_vorticity_forcing,no q0/Ubar forcing in dictionaries,not_admissible_for_strict_csv
muck_q2d,time_window,False,"dt=0.002, t_final=3.0","dt=10.0, endTime=500000.0",not_admissible_for_strict_csv
muck_q2d,observables,False,"energy, enstrophy, spectrum, turnover, force/probe histories",probe_count=3; no energy/enstrophy contract in case dictionaries,not_admissible_for_strict_csv
