kind,index,input_value,pressure_drop_kpa,gradient_kpa
separation,0,1.500000000000e+00,1.187871265411e+01,nan
separation,1,1.600000000000e+00,1.628532028198e+01,nan
separation,2,1.700000000000e+00,2.020946884155e+01,nan
separation,3,1.800000000000e+00,2.334343910217e+01,nan
separation,4,1.900000000000e+00,2.559174728394e+01,nan
separation,5,2.000000000000e+00,2.698582649231e+01,nan
separation,6,2.100000000000e+00,2.762459754944e+01,nan
separation,7,2.200000000000e+00,2.763548088074e+01,nan
separation,8,2.300000000000e+00,2.715043830872e+01,nan
field_scale,0,8.000000000000e+00,2.652534484863e+01,6.594933509827e+00
field_scale,1,7.307386398315e+00,2.215533828735e+01,6.023965835571e+00
field_scale,2,7.056930541992e+00,2.067245292664e+01,5.817498683929e+00
field_scale,3,6.976016521454e+00,2.020443725586e+01,5.750795841217e+00
field_scale,4,6.951131820679e+00,2.006158256531e+01,5.730282306671e+00
field_scale,5,6.943609237671e+00,2.001849937439e+01,5.724078178406e+00
field_scale,6,6.941346645355e+00,2.000554847717e+01,5.722215652466e+00
field_scale,7,6.940667629242e+00,2.000166702271e+01,5.721655368805e+00
