station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.169013932347e-02,3.259963989258e-03,3.482165068673e-04,2.911747577714e-03,0.000000000000e+00
6.338027864695e-02,6.608343124390e-03,6.964330137346e-04,5.911909826937e-03,0.000000000000e+00
9.507042169571e-02,1.004434967041e-02,1.044649561536e-03,8.999699886117e-03,0.000000000000e+00
1.267605572939e-01,1.356663799286e-02,1.392866027469e-03,1.217377141130e-02,0.000000000000e+00
1.584507077932e-01,1.717323493958e-02,1.741082657139e-03,1.543215134620e-02,0.000000000000e+00
1.901408433914e-01,2.086145591736e-02,2.089299123072e-03,1.877215508286e-02,0.000000000000e+00
2.218309789896e-01,2.462783050537e-02,2.437515589005e-03,2.219031357196e-02,0.000000000000e+00
2.535211145878e-01,2.846801376343e-02,2.785732054938e-03,2.568228015473e-02,0.000000000000e+00
2.852112650871e-01,3.237669372559e-02,3.133948684608e-03,2.924274443285e-02,0.000000000000e+00
3.169014155865e-01,3.634749984741e-02,3.482165314278e-03,3.286533358666e-02,0.000000000000e+00
3.485915362835e-01,4.037290191650e-02,3.830381616474e-03,3.654251861767e-02,0.000000000000e+00
3.802816867828e-01,4.444412994385e-02,4.178598246144e-03,4.026553188357e-02,0.000000000000e+00
4.119718372822e-01,4.855106735229e-02,4.526814875814e-03,4.402425411163e-02,0.000000000000e+00
4.436619579792e-01,5.268216705322e-02,4.875031178010e-03,4.780713811764e-02,0.000000000000e+00
4.753521084785e-01,5.682438659668e-02,5.223247807680e-03,5.160114257205e-02,0.000000000000e+00
5.070422291756e-01,6.096310424805e-02,5.571464109877e-03,5.539164350282e-02,0.000000000000e+00
5.387324094772e-01,6.508209991455e-02,5.919681067019e-03,5.916242244802e-02,0.000000000000e+00
5.704225301743e-01,6.916349792480e-02,6.267897369216e-03,6.289560761568e-02,0.000000000000e+00
6.021126508713e-01,7.318785095215e-02,6.616113671413e-03,6.657173789700e-02,0.000000000000e+00
6.338028311729e-01,7.713413238525e-02,6.964330628555e-03,7.016980400560e-02,0.000000000000e+00
6.654929518700e-01,8.097988891602e-02,7.312546930752e-03,7.366734805849e-02,0.000000000000e+00
6.971830725670e-01,8.470145416260e-02,7.660763232949e-03,7.704069554679e-02,0.000000000000e+00
7.288732528687e-01,8.827418518066e-02,8.008980190091e-03,8.026521116478e-02,0.000000000000e+00
7.605633735657e-01,9.167285156250e-02,8.357196492288e-03,8.331566175322e-02,0.000000000000e+00
7.922534942627e-01,9.487216186523e-02,8.705412794485e-03,8.616675896826e-02,0.000000000000e+00
8.239436745644e-01,9.784741973877e-02,9.053629751627e-03,8.879379469370e-02,0.000000000000e+00
8.556337952614e-01,1.005752944946e-01,9.401846053824e-03,9.117345482140e-02,0.000000000000e+00
8.873239159584e-01,1.030349349976e-01,9.750062356021e-03,9.328487789823e-02,0.000000000000e+00
9.190140962601e-01,1.052091674805e-01,1.009827931316e-02,9.511089718214e-02,0.000000000000e+00
9.507042169571e-01,1.070860443115e-01,1.044649561536e-02,9.663955001997e-02,0.000000000000e+00
9.823943376541e-01,1.086606140137e-01,1.079471191756e-02,9.786590881584e-02,0.000000000000e+00
1.014084458351e+00,1.099371185303e-01,1.114292821975e-02,9.879419704138e-02,0.000000000000e+00
1.045774698257e+00,1.109314117432e-01,1.149114583184e-02,9.944027216055e-02,0.000000000000e+00
1.077464818954e+00,1.116738204956e-01,1.183936213404e-02,9.983446404980e-02,0.000000000000e+00
1.109154939651e+00,1.122123947144e-01,1.218757843624e-02,1.000248208994e-01,0.000000000000e+00
1.140845060349e+00,1.126165084839e-01,1.253579473843e-02,1.000807183586e-01,0.000000000000e+00
1.172535181046e+00,1.129808654785e-01,1.288401104063e-02,1.000968612053e-01,0.000000000000e+00
1.204225301743e+00,1.134298553467e-01,1.323222734283e-02,1.001976324356e-01,0.000000000000e+00
1.235915541649e+00,1.141221847534e-01,1.358044495491e-02,1.005417433160e-01,0.000000000000e+00
1.267605662346e+00,1.152557525635e-01,1.392866125711e-02,1.013270944322e-01,0.000000000000e+00
1.299295783043e+00,1.170726318359e-01,1.427687755931e-02,1.027957575805e-01,0.000000000000e+00
1.330985903740e+00,1.198639907837e-01,1.462509386150e-02,1.052389027597e-01,0.000000000000e+00
1.362676024437e+00,1.239748001099e-01,1.497331016370e-02,1.090014968874e-01,0.000000000000e+00
1.394366145134e+00,1.298080444336e-01,1.532152646590e-02,1.144865284502e-01,0.000000000000e+00
1.426056385040e+00,1.378282470703e-01,1.566974407799e-02,1.221585091795e-01,0.000000000000e+00
1.457746505737e+00,1.485637207031e-01,1.601796038018e-02,1.325457682779e-01,0.000000000000e+00
1.489436626434e+00,1.626077575684e-01,1.636617668238e-02,1.462415899020e-01,0.000000000000e+00
1.521126747131e+00,1.806176452637e-01,1.671439298458e-02,1.639032495728e-01,0.000000000000e+00
1.552816867828e+00,2.033115997314e-01,1.706260928677e-02,1.862489925412e-01,0.000000000000e+00
1.584506988525e+00,2.314631958008e-01,1.741082558897e-02,2.140523597795e-01,0.000000000000e+00
1.616197228432e+00,2.658927612305e-01,1.775904320106e-02,2.481337070094e-01,0.000000000000e+00
1.647887349129e+00,3.074551086426e-01,1.810725950325e-02,2.893478540291e-01,0.000000000000e+00
1.679577469826e+00,3.570250244141e-01,1.845547580545e-02,3.385695610934e-01,0.000000000000e+00
1.711267590523e+00,4.154779663086e-01,1.880369210765e-02,3.966742755234e-01,0.000000000000e+00
