station_m,max_abs_div_j,axial_current
7.632709912483e-02,1.078925980255e-02,-1.963411230474e-10
2.289812973745e-01,4.032626748085e-07,-3.891319519216e-10
3.816354956242e-01,4.740431904793e-07,-3.803080586724e-10
5.342896938738e-01,4.819594323635e-07,-3.707887137247e-10
6.869438921235e-01,6.882473826408e-07,-3.619443850536e-10
8.395980903731e-01,2.134125679731e-06,-3.536210855387e-10
9.922522886228e-01,4.898756742477e-07,-3.450423800844e-10
1.144906486872e+00,2.258020685986e-07,-3.360342629155e-10
1.297560685122e+00,1.005828380585e-06,-3.266472509145e-10
1.450214883372e+00,1.323595643044e-05,-3.168612039417e-10
1.602869081621e+00,1.827254891396e-06,-3.040618173911e-10
1.755523279871e+00,3.281980752945e-06,-2.901599932548e-10
1.908177478121e+00,3.233551979065e-06,-2.731502524167e-10
2.060831676370e+00,9.818002581596e-06,-2.716881788989e-10
2.213485874620e+00,3.477558493614e-06,-2.727141637515e-10
2.366140072870e+00,2.264976501465e-06,-2.650681601296e-10
2.518794271119e+00,6.166752427816e-06,-2.673305276148e-10
2.671448469369e+00,5.759298801422e-06,-2.558775234170e-10
2.824102667619e+00,3.911554813385e-06,-2.303310101254e-10
2.976756865868e+00,2.419576048851e-06,-2.144839472632e-10
3.129411064118e+00,4.593282938004e-06,-1.873096752996e-10
3.282065262368e+00,4.518777132034e-06,-1.477109489631e-10
3.434719460617e+00,2.253800630569e-06,-1.439290068997e-10
3.587373658867e+00,3.956258296967e-06,-1.774480190145e-10
3.740027857117e+00,3.043562173843e-06,-2.091672620303e-10
3.892682055366e+00,2.168118953705e-06,-2.192683458813e-10
4.045336253616e+00,3.442168235779e-06,-2.192572749862e-10
4.197990451866e+00,1.564621925354e-06,-2.123062846827e-10
4.350644650115e+00,9.134411811829e-06,-1.942801845695e-10
4.503298848365e+00,1.514516770840e-05,-1.882489981617e-10
4.655953046615e+00,4.452187567949e-06,-1.747043870688e-10
4.808607244864e+00,4.339963197708e-06,-1.462317965285e-10
4.961261443114e+00,2.514570951462e-06,-1.261640050244e-10
5.113915641364e+00,3.971159458160e-06,-1.079568101581e-10
5.266569839613e+00,1.583248376846e-06,-1.000673779950e-10
5.419224037863e+00,1.769512891769e-06,-9.606052064903e-11
5.571878236113e+00,2.235174179077e-06,-8.864833866973e-11
5.724532434362e+00,1.240521669388e-06,-8.505442183893e-11
5.877186632612e+00,8.614733815193e-07,-8.338753298975e-11
6.029840830862e+00,5.112960934639e-07,-7.904565890726e-11
6.182495029111e+00,4.448229447007e-07,-7.240759380966e-11
6.335149227361e+00,5.125184543431e-07,-6.285202566736e-11
6.487803425611e+00,9.979121387005e-07,-5.254287976930e-11
6.640457623860e+00,8.442439138889e-07,-4.227287096759e-11
6.793111822110e+00,7.674098014832e-07,-3.366358396466e-11
6.945766020360e+00,8.041970431805e-07,-2.521296745602e-11
7.098420218609e+00,7.757917046547e-07,-1.510776876865e-11
7.251074416859e+00,3.227032721043e-07,-5.123151035347e-12
