station_m,B_s_T,B_perp_T,B_magnitude_T
0.000000000000e+00,-1.344410693882e-17,4.045015200973e-02,4.045015200973e-02
1.144906486872e-01,-4.336808689942e-18,4.262441396713e-02,4.262441396713e-02
2.289812973745e-01,6.938893903907e-18,4.451610147953e-02,4.451610147953e-02
3.434719460617e-01,-1.734723475977e-18,4.591730237007e-02,4.591730237007e-02
4.579625947490e-01,1.214306433184e-17,4.653886333108e-02,4.653886333108e-02
5.724532434362e-01,-3.469446951954e-18,4.598653689027e-02,4.598653689027e-02
6.869438921235e-01,5.204170427930e-18,4.373445361853e-02,4.373445361853e-02
8.014345408107e-01,8.673617379884e-18,3.909959271550e-02,3.909959271550e-02
9.159251894980e-01,-6.548161810917e-33,3.122471086681e-02,3.122471086681e-02
1.030415838185e+00,2.428612866368e-17,1.908317394555e-02,1.908317394555e-02
1.144906486872e+00,-5.204170427930e-18,1.527026644908e-03,1.527026644908e-03
1.259397135560e+00,1.734723475977e-18,2.259297110140e-02,2.259297110140e-02
1.373887784247e+00,1.040834085586e-17,5.420392006636e-02,5.420392006636e-02
1.488378432934e+00,8.500145032286e-17,9.366571903229e-02,9.366571903229e-02
1.602869081621e+00,-6.938893903907e-18,1.403263509274e-01,1.403263509274e-01
1.717359730309e+00,-6.938893903907e-18,1.920741349459e-01,1.920741349459e-01
1.831850378996e+00,-2.081668171172e-17,2.450761348009e-01,2.450761348009e-01
1.946341027683e+00,3.469446951954e-18,2.939452230930e-01,2.939452230930e-01
2.060831676370e+00,1.040834085586e-17,3.325126469135e-01,3.325126469135e-01
2.175322325058e+00,-6.044012797028e-18,3.551490306854e-01,3.551490306854e-01
2.289812973745e+00,2.007063101183e-18,3.595282137394e-01,3.595282137394e-01
2.404303622432e+00,1.748927541980e-17,3.595333695412e-01,3.595333695412e-01
2.518794271119e+00,2.334474313444e-17,3.595142960548e-01,3.595142960548e-01
2.633284919807e+00,-4.707026159486e-17,3.595080077648e-01,3.595080077648e-01
2.747775568494e+00,6.571818666631e-17,3.595316410065e-01,3.595316410065e-01
2.862266217181e+00,3.528022979762e-17,3.595310151577e-01,3.595310151577e-01
2.976756865868e+00,-6.290317753595e-17,3.595061898232e-01,3.595061898232e-01
3.091247514556e+00,1.017325220265e-17,3.595158159733e-01,3.595158159733e-01
3.205738163243e+00,6.911084946833e-17,3.595336973667e-01,3.595336973667e-01
3.320228811930e+00,6.485991163439e-18,3.595273792744e-01,3.595273792744e-01
3.434719460617e+00,-6.783174524124e-18,3.594967126846e-01,3.594967126846e-01
3.549210109305e+00,-7.935053152093e-18,3.595222532749e-01,3.595222532749e-01
3.663700757992e+00,2.654598840712e-31,3.595343828201e-01,3.595343828201e-01
3.778191406679e+00,7.935053152094e-18,3.595222532749e-01,3.595222532749e-01
3.892682055366e+00,6.783174524124e-18,3.594967126846e-01,3.594967126846e-01
4.007172704054e+00,-6.485991163439e-18,3.595273792744e-01,3.595273792744e-01
4.121663352741e+00,-6.911084946833e-17,3.595336973667e-01,3.595336973667e-01
4.236154001428e+00,-1.017325220265e-17,3.595158159733e-01,3.595158159733e-01
4.350644650115e+00,6.290317753595e-17,3.595061898232e-01,3.595061898232e-01
4.465135298803e+00,-3.528022979762e-17,3.595310151577e-01,3.595310151577e-01
4.579625947490e+00,-6.571818666631e-17,3.595316410065e-01,3.595316410065e-01
4.694116596177e+00,4.707026159486e-17,3.595080077648e-01,3.595080077648e-01
4.808607244864e+00,-2.334474313444e-17,3.595142960548e-01,3.595142960548e-01
4.923097893552e+00,-1.748927541980e-17,3.595333695412e-01,3.595333695412e-01
5.037588542239e+00,-2.007063101183e-18,3.595282137394e-01,3.595282137394e-01
5.152079190926e+00,6.044012797028e-18,3.551490306854e-01,3.551490306854e-01
5.266569839613e+00,-1.040834085586e-17,3.325126469135e-01,3.325126469135e-01
5.381060488301e+00,-3.469446951954e-18,2.939452230930e-01,2.939452230930e-01
5.495551136988e+00,2.081668171172e-17,2.450761348009e-01,2.450761348009e-01
5.610041785675e+00,6.938893903907e-18,1.920741349459e-01,1.920741349459e-01
5.724532434362e+00,6.938893903907e-18,1.403263509274e-01,1.403263509274e-01
5.839023083050e+00,-8.500145032286e-17,9.366571903229e-02,9.366571903229e-02
5.953513731737e+00,-1.040834085586e-17,5.420392006636e-02,5.420392006636e-02
6.068004380424e+00,-1.734723475977e-18,2.259297110140e-02,2.259297110140e-02
6.182495029111e+00,5.204170427930e-18,1.527026644908e-03,1.527026644908e-03
6.296985677799e+00,-2.428612866368e-17,1.908317394555e-02,1.908317394555e-02
6.411476326486e+00,0.000000000000e+00,3.122471086681e-02,3.122471086681e-02
6.525966975173e+00,-8.673617379884e-18,3.909959271550e-02,3.909959271550e-02
6.640457623860e+00,-5.204170427930e-18,4.373445361853e-02,4.373445361853e-02
6.754948272548e+00,3.469446951954e-18,4.598653689027e-02,4.598653689027e-02
6.869438921235e+00,-1.214306433184e-17,4.653886333108e-02,4.653886333108e-02
6.983929569922e+00,1.734723475977e-18,4.591730237007e-02,4.591730237007e-02
7.098420218609e+00,-6.938893903907e-18,4.451610147953e-02,4.451610147953e-02
7.212910867297e+00,4.336808689942e-18,4.262441396713e-02,4.262441396713e-02
7.327401515984e+00,1.344410693882e-17,4.045015200973e-02,4.045015200973e-02
