station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
0.000000000000e+00,4.045015200973e-02,1.016901053244e+02,0.000000000000e+00,1.014708454558e+02
3.169014084507e-02,4.107087105513e-02,1.032505688077e+02,3.259964190516e+00,1.042691167902e+02
6.338028169014e-02,4.167874902487e-02,1.047787503273e+02,6.608343141054e+00,1.070507991993e+02
9.507042253521e-02,4.227080941200e-02,1.062671670609e+02,1.004434960627e+01,1.097993866054e+02
1.267605633803e-01,4.284375905991e-02,1.077075401410e+02,1.356663829867e+01,1.124961664261e+02
1.584507042254e-01,4.339396953583e-02,1.090907478291e+02,1.717323392199e+01,1.151200906897e+02
1.901408450704e-01,4.391745105386e-02,1.104067599591e+02,2.086145481337e+01,1.176476277888e+02
2.218309859155e-01,4.440980404615e-02,1.116445161888e+02,2.462783046749e+01,1.200525246045e+02
2.535211267606e-01,4.486620053649e-02,1.127918791743e+02,2.846801419350e+01,1.223057372150e+02
2.852112676056e-01,4.528136178851e-02,1.138355783781e+02,3.237669390831e+01,1.243753825638e+02
3.169014084507e-01,4.564949125051e-02,1.147610414951e+02,3.634749858824e+01,1.262265127920e+02
3.485915492958e-01,4.596425965428e-02,1.155523569919e+02,4.037290257057e+01,1.278212052037e+02
3.802816901408e-01,4.621875658631e-02,1.161921523582e+02,4.444413123677e+01,1.291185595072e+02
4.119718309859e-01,4.640545323491e-02,1.166615004550e+02,4.855106893546e+01,1.300748419215e+02
4.436619718310e-01,4.651615023613e-02,1.169397884008e+02,5.268217204793e+01,1.306436656212e+02
4.753521126761e-01,4.654195159674e-02,1.170046520156e+02,5.682439206843e+01,1.307764423393e+02
5.070422535211e-01,4.647319391370e-02,1.168317978808e+02,6.096311199594e+01,1.304227708634e+02
5.387323943662e-01,4.629943147302e-02,1.163949658785e+02,6.508210275923e+01,1.295313128642e+02
5.704225352113e-01,4.600936919451e-02,1.156657606175e+02,6.916350692159e+01,1.280506387162e+02
6.021126760563e-01,4.559082537889e-02,1.146135577808e+02,7.318785609134e+01,1.259305088856e+02
6.338028169014e-01,4.503069445491e-02,1.132054104729e+02,7.713413417220e+01,1.231234855509e+02
6.654929577465e-01,4.431489855051e-02,1.114059274724e+02,8.097989689671e+01,1.195868730628e+02
6.971830985915e-01,4.342838004231e-02,1.091772545011e+02,8.470146309883e+01,1.152853050263e+02
7.288732394366e-01,4.235503450036e-02,1.064789056498e+02,8.827419133959e+01,1.101935439462e+02
7.605633802817e-01,4.107772186399e-02,1.032677914741e+02,9.167286043181e+01,1.043002387624e+02
7.922535211268e-01,3.957823663950e-02,9.949814407270e+01,9.487217602382e+01,9.761212304464e+01
8.239436619718e-01,3.783732652664e-02,9.512156391314e+01,9.784742501244e+01,9.015914645913e+01
8.556338028169e-01,3.583468869328e-02,9.008701046692e+01,1.005753031674e+02,8.200027487800e+01
8.873239436620e-01,3.354903310537e-02,8.434096141834e+01,1.030349441055e+02,7.323039766142e+01
9.190140845070e-01,3.095809742808e-02,7.782745012550e+01,1.052091776491e+02,6.398789708700e+01
9.507042253521e-01,2.803875878453e-02,7.048834657729e+01,1.070860480357e+02,5.446347842592e+01
9.823943661972e-01,2.476712688804e-02,6.226359152427e+01,1.086606241854e+02,4.490977190606e+01
1.014084507042e+00,2.111868374050e-02,5.309154767498e+01,1.099371295651e+02,3.565190095002e+01
1.045774647887e+00,1.706844940782e-02,4.290941644887e+01,1.109314192341e+02,2.709882482277e+01
1.077464788732e+00,1.259125582874e-02,3.165392632105e+01,1.116738279454e+02,1.975541384889e+01
1.109154929577e+00,7.661926094443e-03,1.926178352419e+01,1.122124014717e+02,1.423455981259e+01
1.140845070423e+00,2.255634870380e-03,5.670578134967e+00,1.126165155296e+02,1.126952739129e+01
1.172535211268e+00,3.651731414720e-03,9.180310424796e+00,1.129808749507e+02,1.172560051851e+01
1.204225352113e+00,1.008315756917e-02,2.534866506720e+01,1.134298628048e+02,1.661052182895e+01
1.235915492958e+00,1.706004515290e-02,4.288828847964e+01,1.141221891556e+02,2.708296342416e+01
1.267605633803e+00,2.460156939924e-02,6.184738645119e+01,1.152557573563e+02,4.445778524280e+01
1.299295774648e+00,3.272423148155e-02,8.226744228848e+01,1.170726380276e+02,7.020757267894e+01
1.330985915493e+00,4.144110530615e-02,1.041813232823e+02,1.198640012722e+02,1.059584632054e+02
1.362676056338e+00,5.076117813587e-02,1.276116230611e+02,1.239748144280e+02,1.534795226254e+02
1.394366197183e+00,6.068852916360e-02,1.525685965568e+02,1.298080659589e+02,2.146634628818e+02
1.426056338028e+00,7.122163474560e-02,1.790484133883e+02,1.378282393732e+02,2.914985925956e+02
1.457746478873e+00,8.235255628824e-02,2.070311162409e+02,1.485637219985e+02,3.860296442025e+02
1.489436619718e+00,9.406603872776e-02,2.364783544788e+02,1.626077691076e+02,5.003057733468e+02
1.521126760563e+00,1.063388809562e-01,2.673318014211e+02,1.806176563672e+02,6.363182225944e+02
1.552816901408e+00,1.191391274333e-01,2.995111220853e+02,2.033116296904e+02,7.959236493598e+02
1.584507042254e+00,1.324253529310e-01,3.329121750629e+02,2.314632309362e+02,9.807551848174e+02
1.616197183099e+00,1.461462676525e-01,3.674060198039e+02,2.658926866748e+02,1.192126021794e+03
1.647887323944e+00,1.602402329445e-01,4.028376991369e+02,3.074550755539e+02,1.430922520800e+03
1.679577464789e+00,1.746349483728e-01,4.390254525889e+02,3.570250312725e+02,1.697492462331e+03
1.711267605634e+00,1.892476379871e-01,4.757611846473e+02,4.154779998811e+02,1.991539334297e+03
1.742957746479e+00,2.039851546288e-01,5.128107269864e+02,4.836681694195e+02,2.312018032131e+03
1.774647887324e+00,2.187444418669e-01,5.499149997565e+02,5.624033247301e+02,2.657045103023e+03
1.806338028169e+00,2.334135323763e-01,5.867925214666e+02,6.524172854033e+02,3.023835970578e+03
1.838028169014e+00,2.478724122047e-01,6.231415817192e+02,7.543406479391e+02,3.408660687238e+03
1.869718309859e+00,2.619946599007e-01,6.586443619132e+02,8.686708694770e+02,3.806846627598e+03
1.901408450704e+00,2.756490111351e-01,6.929708686426e+02,9.957429510875e+02,4.212813634037e+03
1.933098591549e+00,2.887014448643e-01,7.257841782277e+02,1.135702065063e+03,4.620161559097e+03
1.964788732394e+00,3.010174036026e-01,7.567460183951e+02,1.288479670300e+03,5.021802860270e+03
1.996478873239e+00,3.124642670155e-01,7.855229867933e+02,1.453774600433e+03,5.410143841479e+03
2.028169014085e+00,3.229138851166e-01,8.117929193525e+02,1.631040529853e+03,5.777305926368e+03
2.059859154930e+00,3.322452008724e-01,8.352514834093e+02,1.819481011867e+03,6.115382271850e+03
2.091549295775e+00,3.403469324112e-01,8.556189206760e+02,2.018053068685e+03,6.416720869562e+03
2.123239436620e+00,3.471199572086e-01,8.726460409907e+02,2.225479796622e+03,6.674210404644e+03
2.154929577465e+00,3.524797558784e-01,8.861203659109e+02,2.440272084911e+03,6.881569567366e+03
2.186619718310e+00,3.563582599163e-01,8.958707738702e+02,2.660758959091e+03,7.033602047553e+03
2.218309859155e+00,3.587056398392e-01,9.017719954907e+02,2.885147443016e+03,7.127804493546e+03
2.250000000000e+00,3.594915270805e-01,9.037476853801e+02,3.111641448695e+03,7.166483864806e+03
2.269771863834e+00,3.594914674759e-01,9.037475355363e+02,3.253454471978e+03,7.178448355201e+03
2.289543727669e+00,3.594915270805e-01,9.037476853801e+02,3.395407659031e+03,7.180661968580e+03
2.309315591503e+00,3.594914674759e-01,9.037475355363e+02,3.537382706286e+03,7.180659598713e+03
2.329087455338e+00,3.594915270805e-01,9.037476853801e+02,3.679357753541e+03,7.180661968580e+03
2.348859319172e+00,3.594914674759e-01,9.037475355363e+02,3.821332800796e+03,7.180659598713e+03
2.368631183006e+00,3.594914674759e-01,9.037475355363e+02,3.963307824623e+03,7.180659598713e+03
2.388403046841e+00,3.594914376736e-01,9.037474606144e+02,4.105282836736e+03,7.180658413780e+03
2.408174910675e+00,3.594914674759e-01,9.037475355363e+02,4.247257848849e+03,7.180659598713e+03
2.427946774510e+00,3.594914972782e-01,9.037476104582e+02,4.389232884390e+03,7.180660783646e+03
2.447718638344e+00,3.594914972782e-01,9.037476104582e+02,4.531207931645e+03,7.180660783646e+03
2.467490502178e+00,3.594914376736e-01,9.037474606144e+02,4.673182955472e+03,7.180658413780e+03
2.487262366013e+00,3.594915270805e-01,9.037476853801e+02,4.815157991013e+03,7.180661968580e+03
2.507034229847e+00,3.594914674759e-01,9.037475355363e+02,4.957133038268e+03,7.180659598713e+03
2.526806093681e+00,3.594914674759e-01,9.037475355363e+02,5.099108062095e+03,7.180659598713e+03
2.546577957516e+00,3.594914376736e-01,9.037474606144e+02,5.241083074208e+03,7.180658413780e+03
2.566349821350e+00,3.594914972782e-01,9.037476104582e+02,5.383058098034e+03,7.180660783646e+03
2.586121685185e+00,3.594914376736e-01,9.037474606144e+02,5.525033121861e+03,7.180658413780e+03
2.605893549019e+00,3.594914972782e-01,9.037476104582e+02,5.667008145688e+03,7.180660783646e+03
2.625665412853e+00,3.594914674759e-01,9.037475355363e+02,5.808983181229e+03,7.180659598713e+03
2.645437276688e+00,3.594914376736e-01,9.037474606144e+02,5.950958193342e+03,7.180658413780e+03
2.665209140522e+00,3.594914972782e-01,9.037476104582e+02,6.092933217169e+03,7.180660783646e+03
2.684981004357e+00,3.594914972782e-01,9.037476104582e+02,6.234908264424e+03,7.180660783646e+03
2.704752868191e+00,3.594914674759e-01,9.037475355363e+02,6.376883299965e+03,7.180659598713e+03
2.724524732025e+00,3.594914674759e-01,9.037475355363e+02,6.518858323792e+03,7.180659598713e+03
2.744296595860e+00,3.594914674759e-01,9.037475355363e+02,6.660833347619e+03,7.180659598713e+03
2.764068459694e+00,3.594914972782e-01,9.037476104582e+02,6.802808383160e+03,7.180660783646e+03
2.783840323529e+00,3.594914972782e-01,9.037476104582e+02,6.944783430415e+03,7.180660783646e+03
2.803612187363e+00,3.594914972782e-01,9.037476104582e+02,7.086758477670e+03,7.180660783646e+03
2.823384051197e+00,3.594914972782e-01,9.037476104582e+02,7.228733524925e+03,7.180660783646e+03
2.843155915032e+00,3.594914972782e-01,9.037476104582e+02,7.370708572181e+03,7.180660783646e+03
2.862927778866e+00,3.594914674759e-01,9.037475355363e+02,7.512683607722e+03,7.180659598713e+03
2.882699642700e+00,3.594914972782e-01,9.037476104582e+02,7.654658643263e+03,7.180660783646e+03
2.902471506535e+00,3.594914674759e-01,9.037475355363e+02,7.796633678804e+03,7.180659598713e+03
2.922243370369e+00,3.594914972782e-01,9.037476104582e+02,7.938608714345e+03,7.180660783646e+03
