field_scale,station_m,b_perp_t,hartmann,total_pressure_drop_pa,hydraulic_pressure_drop_pa,mhd_pressure_drop_pa,curvature_pressure_drop_pa,total_pressure_gradient_pa_per_m
4.000000000000e+00,0.000000000000e+00,2.022507600486e-02,5.084505266222e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.360883672488e+01
4.000000000000e+00,3.169014084507e-02,2.053543552756e-02,5.162528440385e+01,1.076153471039e+00,3.482165645469e-01,7.279369064924e-01,0.000000000000e+00,3.430840455848e+01
4.000000000000e+00,6.338028169014e-02,2.083937451243e-02,5.238937516366e+01,2.174410632084e+00,6.964331290938e-01,1.477977502990e+00,0.000000000000e+00,3.500382516077e+01
4.000000000000e+00,9.507042253521e-02,2.113540470600e-02,5.313358353044e+01,3.294574671798e+00,1.044649693641e+00,2.249924978157e+00,0.000000000000e+00,3.569097201231e+01
4.000000000000e+00,1.267605633803e-01,2.142187952995e-02,5.385377007049e+01,4.436309268308e+00,1.392866258188e+00,3.043443010121e+00,0.000000000000e+00,3.636516696747e+01
4.000000000000e+00,1.584507042254e-01,2.169698476791e-02,5.454537391457e+01,5.599120597547e+00,1.741082822734e+00,3.858037774813e+00,0.000000000000e+00,3.702114803338e+01
4.000000000000e+00,1.901408450704e-01,2.195872552693e-02,5.520337997956e+01,6.782338243804e+00,2.089299387281e+00,4.693038856522e+00,0.000000000000e+00,3.765303230814e+01
4.000000000000e+00,2.218309859155e-01,2.220490202308e-02,5.582225809442e+01,7.985094580744e+00,2.437515951828e+00,5.547578628916e+00,0.000000000000e+00,3.825425651208e+01
4.000000000000e+00,2.535211267606e-01,2.243310026824e-02,5.639593958715e+01,9.206302935658e+00,2.785732516375e+00,6.420570419282e+00,0.000000000000e+00,3.881755966470e+01
4.000000000000e+00,2.852112676056e-01,2.264068089426e-02,5.691778918903e+01,1.044463528777e+01,3.133949080922e+00,7.310686206847e+00,0.000000000000e+00,3.933497100188e+01
4.000000000000e+00,3.169014084507e-01,2.282474562526e-02,5.738052074756e+01,1.169849888116e+01,3.482165645469e+00,8.216333235694e+00,0.000000000000e+00,3.979775355896e+01
4.000000000000e+00,3.485915492958e-01,2.298212982714e-02,5.777617849594e+01,1.296601230015e+01,3.830382210016e+00,9.135630090139e+00,0.000000000000e+00,4.019642666188e+01
4.000000000000e+00,3.802816901408e-01,2.310937829316e-02,5.809607617910e+01,1.424498189011e+01,4.178598774563e+00,1.006638311555e+01,0.000000000000e+00,4.052076523775e+01
4.000000000000e+00,4.119718309859e-01,2.320272661746e-02,5.833075022749e+01,1.553287873820e+01,4.526815339110e+00,1.100606339909e+01,0.000000000000e+00,4.075983584131e+01
4.000000000000e+00,4.436619718310e-01,2.325807511806e-02,5.846989420042e+01,1.682681693973e+01,4.875031903657e+00,1.195178503607e+01,0.000000000000e+00,4.090204176625e+01
4.000000000000e+00,4.753521126761e-01,2.327097579837e-02,5.850232600781e+01,1.812353436826e+01,5.223248468203e+00,1.290028590006e+01,0.000000000000e+00,4.093523594576e+01
4.000000000000e+00,5.070422535211e-01,2.323659695685e-02,5.841589894039e+01,1.941937677355e+01,5.571465032750e+00,1.384791174080e+01,0.000000000000e+00,4.084681807679e+01
4.000000000000e+00,5.387323943662e-01,2.314971573651e-02,5.819748293925e+01,2.071028688778e+01,5.919681597297e+00,1.479060529048e+01,0.000000000000e+00,4.062395357699e+01
4.000000000000e+00,5.704225352113e-01,2.300468459725e-02,5.783288030877e+01,2.199180035178e+01,6.267898161844e+00,1.572390218994e+01,0.000000000000e+00,4.025378504000e+01
4.000000000000e+00,6.021126760563e-01,2.279541268945e-02,5.730677889039e+01,2.325905006763e+01,6.616114726391e+00,1.664293534124e+01,0.000000000000e+00,3.972375258235e+01
4.000000000000e+00,6.338028169014e-01,2.251534722745e-02,5.660270523645e+01,2.450678201125e+01,6.964331290938e+00,1.754245072032e+01,0.000000000000e+00,3.902199674866e+01
4.000000000000e+00,6.654929577465e-01,2.215744927526e-02,5.570296373620e+01,2.572938511579e+01,7.312547855485e+00,1.841683726031e+01,0.000000000000e+00,3.813784362664e+01
4.000000000000e+00,6.971830985915e-01,2.171419002116e-02,5.458862725053e+01,2.692093908973e+01,7.660764420032e+00,1.926017466970e+01,0.000000000000e+00,3.706245161753e+01
4.000000000000e+00,7.288732394366e-01,2.117751725018e-02,5.323945282488e+01,2.807528357333e+01,8.008980984579e+00,2.006630258875e+01,0.000000000000e+00,3.578951134748e+01
4.000000000000e+00,7.605633802817e-01,2.053886093199e-02,5.163389573706e+01,2.918611326980e+01,8.357197549126e+00,2.082891572067e+01,0.000000000000e+00,3.431618505154e+01
4.000000000000e+00,7.922535211268e-01,1.978911831975e-02,4.974907203635e+01,3.024710459121e+01,8.705414113672e+00,2.154169047754e+01,0.000000000000e+00,3.264415612210e+01
4.000000000000e+00,8.239436619718e-01,1.891866326332e-02,4.756078195657e+01,3.125207926177e+01,9.053630678219e+00,2.219844858355e+01,0.000000000000e+00,3.078091197573e+01
4.000000000000e+00,8.556338028169e-01,1.791734434664e-02,4.504350523346e+01,3.219521122393e+01,9.401847242766e+00,2.279336398116e+01,0.000000000000e+00,2.874119408044e+01
4.000000000000e+00,8.873239436620e-01,1.677451655269e-02,4.217048070917e+01,3.307128388187e+01,9.750063807313e+00,2.332122007456e+01,0.000000000000e+00,2.654872477630e+01
4.000000000000e+00,9.190140845070e-01,1.547904871404e-02,3.891372506275e+01,3.387600469117e+01,1.009828037186e+01,2.377772431931e+01,0.000000000000e+00,2.423809963269e+01
4.000000000000e+00,9.507042253521e-01,1.401937939227e-02,3.524417328864e+01,3.460638471124e+01,1.044649693641e+01,2.415988777484e+01,0.000000000000e+00,2.185699496742e+01
4.000000000000e+00,9.823943661972e-01,1.238356344402e-02,3.113179576213e+01,3.526119117206e+01,1.079471350095e+01,2.446647767110e+01,0.000000000000e+00,1.946856833746e+01
4.000000000000e+00,1.014084507042e+00,1.055934187025e-02,2.654577383749e+01,3.584147994041e+01,1.114293006550e+01,2.469854987491e+01,0.000000000000e+00,1.715410059845e+01
4.000000000000e+00,1.045774647887e+00,8.534224703908e-03,2.145470822444e+01,3.635121478105e+01,1.149114663005e+01,2.486006815101e+01,0.000000000000e+00,1.501583156664e+01
4.000000000000e+00,1.077464788732e+00,6.295627914369e-03,1.582696316053e+01,3.679797938230e+01,1.183936319459e+01,2.495861618771e+01,0.000000000000e+00,1.317997882317e+01
4.000000000000e+00,1.109154929577e+00,3.830963047221e-03,9.630891762095e+00,3.719378518729e+01,1.218757975914e+01,2.500620542815e+01,0.000000000000e+00,1.179976531409e+01
