magnetic_field_t,velocity_m_s,hartmann_number,reynolds_number,interaction_parameter,magnetic_reynolds_number,inductionless_assumption_pass
1.0,0.01,4472.13595499958,625.0,32000.0,0.002010619298297468,True
1.0,0.02,4472.13595499958,1250.0,16000.0,0.004021238596594936,True
1.0,0.03,4472.13595499958,1874.9999999999998,10666.666666666666,0.006031857894892404,True
1.0,0.04,4472.13595499958,2500.0,8000.0,0.008042477193189871,True
2.0,0.01,8944.27190999916,625.0,128000.0,0.002010619298297468,True
2.0,0.02,8944.27190999916,1250.0,64000.0,0.004021238596594936,True
2.0,0.03,8944.27190999916,1874.9999999999998,42666.666666666664,0.006031857894892404,True
2.0,0.04,8944.27190999916,2500.0,32000.0,0.008042477193189871,True
4.0,0.01,17888.54381999832,625.0,512000.0,0.002010619298297468,True
4.0,0.02,17888.54381999832,1250.0,256000.0,0.004021238596594936,True
4.0,0.03,17888.54381999832,1874.9999999999998,170666.66666666666,0.006031857894892404,True
4.0,0.04,17888.54381999832,2500.0,128000.0,0.008042477193189871,True
6.0,0.01,26832.81572999748,625.0,1152000.0,0.002010619298297468,True
6.0,0.02,26832.81572999748,1250.0,576000.0,0.004021238596594936,True
6.0,0.03,26832.81572999748,1874.9999999999998,384000.0,0.006031857894892404,True
6.0,0.04,26832.81572999748,2500.0,288000.0,0.008042477193189871,True
