substrate,substrate_conductivity_s_m,aln_conductivity_s_m,aln_conductance_ratio,pinhole_fraction,metal_conductance_ratio,effective_conductance_ratio,current_closure_proxy,worst_case_lorentz_drag_proxy,mhd_performance_only
316L,1350000.0,1e-10,1.25e-19,0.0,0.0084375,1.25e-19,1.25e-19,1.4400000000000002e-13,True
316L,1350000.0,1e-10,1.25e-19,1e-07,0.0084375,8.43750000125e-10,8.43749999413086e-10,0.000971999999323875,True
316L,1350000.0,1e-10,1.25e-19,1e-06,0.0084375,8.437500000125e-09,8.437499928933595e-09,0.009719999918131501,True
316L,1350000.0,1e-10,1.25e-19,1e-05,0.0084375,8.437500000012502e-08,8.437499288098499e-08,0.09719999179889471,True
316L,1350000.0,1e-10,1.25e-19,0.0001,0.0084375,8.43750000000125e-07,8.437492880866631e-07,0.971999179875836,True
316L,1350000.0,1e-10,1.25e-19,0.001,0.0084375,8.437500000000125e-06,8.437428809194547e-06,9.719917988192119,True
316L,1350000.0,1e-10,1.25e-19,0.01,0.0084375,8.437500000000013e-05,8.436788146000194e-05,97.19179944192224,True
316L,1350000.0,1e-10,1.25e-19,0.1,0.0084375,0.0008437500000000002,0.0008430386861085961,971.1805663971027,True
316L,1350000.0,1e-09,1.2500000000000003e-18,0.0,0.0084375,1.2500000000000003e-18,1.2500000000000003e-18,1.4400000000000003e-12,True
316L,1350000.0,1e-09,1.2500000000000003e-18,1e-07,0.0084375,8.437500012499999e-10,8.437500005380859e-10,0.0009720000006198749,True
316L,1350000.0,1e-09,1.2500000000000003e-18,1e-06,0.0084375,8.43750000125e-09,8.437499930058594e-09,0.0097199999194275,True
316L,1350000.0,1e-09,1.2500000000000003e-18,1e-05,0.0084375,8.437500000125e-08,8.437499288210997e-08,0.09719999180019068,True
316L,1350000.0,1e-09,1.2500000000000003e-18,0.0001,0.0084375,8.4375000000125e-07,8.437492880877881e-07,0.9719991798771319,True
316L,1350000.0,1e-09,1.2500000000000003e-18,0.001,0.0084375,8.437500000001249e-06,8.43742880919567e-06,9.719917988193412,True
316L,1350000.0,1e-09,1.2500000000000003e-18,0.01,0.0084375,8.437500000000124e-05,8.436788146000305e-05,97.19179944192352,True
316L,1350000.0,1e-09,1.2500000000000003e-18,0.1,0.0084375,0.0008437500000000012,0.0008430386861085971,971.1805663971038,True
316L,1350000.0,1e-08,1.25e-17,0.0,0.0084375,1.25e-17,1.25e-17,1.44e-11,True
316L,1350000.0,1e-08,1.25e-17,1e-07,0.0084375,8.437500124999988e-10,8.437500117880847e-10,0.0009720000135798737,True
316L,1350000.0,1e-08,1.25e-17,1e-06,0.0084375,8.437500012499988e-09,8.437499941308583e-09,0.009719999932387487,True
316L,1350000.0,1e-08,1.25e-17,1e-05,0.0084375,8.437500001249989e-08,8.437499289335985e-08,0.09719999181315055,True
316L,1350000.0,1e-08,1.25e-17,0.0001,0.0084375,8.437500000124988e-07,8.437492880990369e-07,0.9719991798900905,True
316L,1350000.0,1e-08,1.25e-17,0.001,0.0084375,8.437500000012487e-06,8.437428809206909e-06,9.719917988206358,True
316L,1350000.0,1e-08,1.25e-17,0.01,0.0084375,8.437500000001238e-05,8.436788146001419e-05,97.19179944193635,True
316L,1350000.0,1e-08,1.25e-17,0.1,0.0084375,0.0008437500000000114,0.0008430386861086072,971.1805663971154,True
316L,1350000.0,1e-07,1.2499999999999999e-16,0.0,0.0084375,1.2499999999999999e-16,1.2499999999999996e-16,1.4399999999999994e-10,True
316L,1350000.0,1e-07,1.2499999999999999e-16,1e-07,0.0084375,8.437501249999875e-10,8.437501242880732e-10,0.0009720001431798603,True
316L,1350000.0,1e-07,1.2499999999999999e-16,1e-06,0.0084375,8.437500124999875e-09,8.437500053808468e-09,0.009720000061987356,True
316L,1350000.0,1e-07,1.2499999999999999e-16,1e-05,0.0084375,8.437500012499877e-08,8.437499300585873e-08,0.09719999194274925,True
316L,1350000.0,1e-07,1.2499999999999999e-16,0.0001,0.0084375,8.437500001249876e-07,8.437492882115257e-07,0.9719991800196776,True
316L,1350000.0,1e-07,1.2499999999999999e-16,0.001,0.0084375,8.437500000124875e-06,8.437428809319295e-06,9.719917988335828,True
316L,1350000.0,1e-07,1.2499999999999999e-16,0.01,0.0084375,8.437500000012375e-05,8.436788146012554e-05,97.19179944206462,True
316L,1350000.0,1e-07,1.2499999999999999e-16,0.1,0.0084375,0.0008437500000001126,0.0008430386861087084,971.1805663972322,True
316L,1350000.0,1e-06,1.25e-15,0.0,0.0084375,1.25e-15,1.2499999999999984e-15,1.4399999999999981e-09,True
316L,1350000.0,1e-06,1.25e-15,1e-07,0.0084375,8.43751249999875e-10,8.437512492879588e-10,0.0009720014391797285,True
316L,1350000.0,1e-06,1.25e-15,1e-06,0.0084375,8.43750124999875e-09,8.437501178807326e-09,0.009720001357986039,True
316L,1350000.0,1e-06,1.25e-15,1e-05,0.0084375,8.437500124998751e-08,8.437499413084728e-08,0.09719999323873607,True
316L,1350000.0,1e-06,1.25e-15,0.0001,0.0084375,8.437500012498751e-07,8.437492893364112e-07,0.9719991813155457,True
316L,1350000.0,1e-06,1.25e-15,0.001,0.0084375,8.43750000124875e-06,8.437428810443152e-06,9.719917989630511,True
316L,1350000.0,1e-06,1.25e-15,0.01,0.0084375,8.43750000012375e-05,8.43678814612391e-05,97.19179944334743,True
316L,1350000.0,1e-06,1.25e-15,0.1,0.0084375,0.0008437500000011251,0.000843038686109719,971.1805663983963,True
316L,1350000.0,1e-05,1.25e-14,0.0,0.0084375,1.25e-14,1.2499999999999844e-14,1.4399999999999821e-08,True
316L,1350000.0,1e-05,1.25e-14,1e-07,0.0084375,8.4376249999875e-10,8.43762499286815e-10,0.0009720143991784108,True
316L,1350000.0,1e-05,1.25e-14,1e-06,0.0084375,8.4375124999875e-09,8.437512428795884e-09,0.009720014317972857,True
316L,1350000.0,1e-05,1.25e-14,1e-05,0.0084375,8.437501249987501e-08,8.437500538073288e-08,0.09720000619860428,True
316L,1350000.0,1e-05,1.25e-14,0.0001,0.0084375,8.437500124987501e-07,8.437493005852671e-07,0.9719991942742278,True
316L,1350000.0,1e-05,1.25e-14,0.001,0.0084375,8.4375000124875e-06,8.437428821681712e-06,9.719918002577332,True
316L,1350000.0,1e-05,1.25e-14,0.01,0.0084375,8.4375000012375e-05,8.436788147237473e-05,97.19179945617569,True
316L,1350000.0,1e-05,1.25e-14,0.1,0.0084375,0.0008437500000112501,0.0008430386861198269,971.1805664100406,True
316L,1350000.0,0.0001,1.25e-13,0.0,0.0084375,1.25e-13,1.2499999999998437e-13,1.43999999999982e-07,True
316L,1350000.0,0.0001,1.25e-13,1e-07,0.0084375,8.438749999875e-10,8.43874999275375e-10,0.0009721439991652321,True
316L,1350000.0,0.0001,1.25e-13,1e-06,0.0084375,8.437624999875e-09,8.437624928681486e-09,0.009720143917841071,True
316L,1350000.0,0.0001,1.25e-13,1e-05,0.0084375,8.437512499875001e-08,8.437511787958888e-08,0.0972001357972864,True
316L,1350000.0,0.0001,1.25e-13,0.0001,0.0084375,8.437501249875001e-07,8.437494130738275e-07,0.9719993238610493,True
316L,1350000.0,0.0001,1.25e-13,0.001,0.0084375,8.437500124875e-06,8.437428934067315e-06,9.719918132045548,True
316L,1350000.0,0.0001,1.25e-13,0.01,0.0084375,8.437500012375e-05,8.436788158373093e-05,97.19179958445802,True
316L,1350000.0,0.0001,1.25e-13,0.1,0.0084375,0.0008437500001125001,0.0008430386862209062,971.180566526484,True
316L,1350000.0,0.001,1.2500000000000001e-12,0.0,0.0084375,1.2500000000000001e-12,1.2499999999984379e-12,1.4399999999982005e-06,True
316L,1350000.0,0.001,1.2500000000000001e-12,1e-07,0.0084375,8.44999999875e-10,8.449999991609749e-10,0.0009734399990334431,True
316L,1350000.0,0.001,1.2500000000000001e-12,1e-06,0.0084375,8.438749998750001e-09,8.438749927537501e-09,0.009721439916523201,True
316L,1350000.0,0.001,1.2500000000000001e-12,1e-05,0.0084375,8.437624998750001e-08,8.437624286814905e-08,0.0972014317841077,True
316L,1350000.0,0.001,1.2500000000000001e-12,0.0001,0.0084375,8.437512498750001e-07,8.43750537959429e-07,0.9720006197292622,True
316L,1350000.0,0.001,1.2500000000000001e-12,0.001,0.0084375,8.43750124875e-06,8.437430057923349e-06,9.719919426727698,True
316L,1350000.0,0.001,1.2500000000000001e-12,0.01,0.0084375,8.43750012375e-05,8.4367882697293e-05,97.19180086728153,True
316L,1350000.0,0.001,1.2500000000000001e-12,0.1,0.0084375,0.0008437500011250001,0.0008430386872317001,971.1805676909186,True
IN625,800000.0,1e-10,1.25e-19,0.0,0.005,1.25e-19,1.25e-19,1.4400000000000002e-13,True
IN625,800000.0,1e-10,1.25e-19,1e-07,0.005,5.00000000125e-10,4.99999999875e-10,0.000575999999856,True
IN625,800000.0,1e-10,1.25e-19,1e-06,0.005,5.000000000125e-09,4.999999975125001e-09,0.005759999971344001,True
IN625,800000.0,1e-10,1.25e-19,1e-05,0.005,5.0000000000125e-08,4.999999750012513e-08,0.05759999712014415,True
